order_id,product,quantity,price,order_date,region
1040,Thingamajig,4,N/A,29/01/2024,North
1043,widget-a,18,297.29,2024-01-04,south
1032,Gadget X,20,0,23/02/2024,Central
1017,widget-a,,-10.99,05/02/2024,EAST
1006,Widget A,-5,-10.99,03-18-2024,
1029,Widget_B,18,free,11-Jan-2024,
1039,Widget_B,,353.76,25/03/2024,North
1054,widget-a,8,free,03-22-2024,EAST
1022,Gadget-X,,352.4,18/03/2024,
1015,Widget A,-5,0,01-29-2024,south
1052,Thingamajig,,203.58,28-Jan-2024,EAST
1013,widget-a,-5,free,01-19-2024,south
1047,Widget_B,,free,2024/03/15,south
1008,Thingamajig,-5,50.0,15/01/2024,south
1050,Widget_B,14,0,29-Feb-2024,Central
1055,Widget A,1,0,02-04-2024,EAST
1027,Gadget-X,-5,-10.99,05/03/2024,North
1055,Widget A,,N/A,10-Mar-2024,Central
1020,Widget A,16,-10.99,09/02/2024,south
1056,widget-a,19,free,09-Jan-2024,south
1042,Gadget-X,,0,24/02/2024,
1044,Gadget X,,-10.99,26-Feb-2024,North
1015,Gadget-X,8,0,11/03/2024,south
1000,Gadget-X,3,118.33,2024-02-12,south
1017,widget-a,,0,2024/03/14,West 
1051,Gadget X,,free,2024/02/15,West 
1055,widget-a,2,-10.99,14/01/2024,south
1034,Widget A,,-10.99,29/02/2024,West 
1051,widget-a,18,0,2024-01-02,south
1026,Gadget X,-5,free,08/01/2024,North
1024,widget-a,-5,0,2024/03/25,south
1018,Widget A,7,0,01-08-2024,North
1037,Widget A,,0,11/01/2024,Central
1004,Gadget-X,-5,0,01-Feb-2024,North
1039,Widget_B,-5,0,03-07-2024,south
1042,Gadget X,,N/A,03-26-2024,EAST
1059,Gadget-X,3,0,2024-01-13,south
1032,Widget_B,,466.96,02-01-2024,south
1028,Widget_B,,0,02-Jan-2024,
1006,Widget_B,,62.14,11/03/2024,EAST
1038,Widget_B,,-10.99,2024/03/05,North
1005,widget-a,,-10.99,01-17-2024,
1028,Gadget-X,-5,282.65,10/01/2024,North
1053,Widget A,,217.74,02-09-2024,EAST
1013,Thingamajig,8,0,22-Feb-2024,south
1059,widget-a,,N/A,2024-02-22,
